,Site,Plot,Yr,species,cover,alpha
1687,12,6,2,Prunus spinosa,50.0,16.0
1688,12,6,2,Rosa canina agg.,50.0,16.0
1689,12,6,2,Rubus fruticosus agg.,50.0,16.0
1690,12,6,2,Salix seedling/sp,50.0,16.0
1691,12,7,1,Clematis vitalba,50.0,10.0
1692,12,7,1,Fraxinus excelsior (c),50.0,10.0
1693,12,7,1,Lonicera periclymenum,50.0,10.0
1694,12,7,1,Rosa seedling/sp,50.0,10.0
1695,12,7,1,Rubus fruticosus agg.,5.0,10.0
1696,12,7,2,Acer campestre,50.0,17.0
1697,12,7,2,Clematis vitalba,50.0,17.0
1698,12,7,2,Corylus avellana,50.0,17.0
1699,12,7,2,Prunus spinosa,50.0,17.0
1700,12,7,2,Sambucus nigra,50.0,17.0
1701,12,8,1,Fraxinus excelsior (c),50.0,22.0
1702,12,8,1,Hedera helix,100.0,22.0
1703,12,8,1,Picea sp,50.0,22.0
1704,12,8,1,Quercus seedling/sp,50.0,22.0
1705,12,8,1,Rubus fruticosus agg.,5.0,22.0
1706,12,8,2,Acer campestre,50.0,15.0
1707,12,8,2,Clematis vitalba,50.0,15.0
1708,12,8,2,Fraxinus excelsior (c),50.0,15.0
1709,12,8,2,Hedera helix,15.0,15.0
1710,12,8,2,Prunus spinosa,50.0,15.0
1711,12,8,2,Rubus fruticosus agg.,100.0,15.0
1712,12,9,1,Fraxinus excelsior (c),50.0,20.0
1713,12,9,1,Rubus fruticosus agg.,50.0,20.0
1714,12,9,1,Solanum dulcamara,50.0,20.0
1715,12,9,2,Arbutus unedo,5.0,20.0
1716,12,9,2,Corylus avellana,50.0,20.0
1717,12,9,2,Daphne laureola,100.0,20.0
1718,12,9,2,Euonymus europaeus,50.0,20.0
1719,12,9,2,Fraxinus excelsior (c),50.0,20.0
1720,12,9,2,Hedera helix,50.0,20.0
1721,12,9,2,Rubus fruticosus agg.,50.0,20.0
1722,12,10,1,Crataegus monogyna,50.0,10.0
1723,12,10,1,Fraxinus excelsior (c),100.0,10.0
1724,12,10,1,Hedera helix,100.0,10.0
1725,12,10,1,Ilex aquifolium,50.0,10.0
1726,12,10,1,Lonicera periclymenum,50.0,10.0
1727,12,10,1,Rubus fruticosus agg.,10.0,10.0
1728,12,10,2,Acer campestre,50.0,6.0
1729,12,10,2,Crataegus monogyna,50.0,6.0
1730,12,10,2,Daphne laureola,50.0,6.0
1731,12,10,2,Fraxinus excelsior (c),50.0,6.0
1732,12,10,2,Hedera helix,30.0,6.0
1733,12,10,2,Ilex aquifolium,50.0,6.0
1734,12,10,2,Lonicera periclymenum,50.0,6.0
1735,12,10,2,Rubus fruticosus agg.,100.0,6.0
1736,12,11,1,Acer campestre,50.0,3.0
1737,12,11,1,Fraxinus excelsior (c),50.0,3.0
1738,12,11,1,Rosa seedling/sp,100.0,3.0
1739,12,11,1,Rubus fruticosus agg.,10.0,3.0
1740,12,11,2,Acer campestre,50.0,14.0
1741,12,11,2,Corylus avellana,50.0,14.0
1742,12,11,2,Crataegus monogyna,50.0,14.0
1743,12,11,2,Fraxinus excelsior (c),50.0,14.0
1744,12,11,2,Hedera helix,100.0,14.0
1745,12,11,2,Lonicera periclymenum,100.0,14.0
1746,12,11,2,Quercus seedling/sp,50.0,14.0
1747,12,11,2,Rubus fruticosus agg.,5.0,14.0
1748,12,11,2,Sambucus nigra,50.0,14.0
1749,12,12,1,Clematis vitalba,100.0,4.0
1750,12,12,1,Crataegus monogyna,50.0,4.0
1751,12,12,1,Ilex aquifolium,50.0,4.0
1752,12,12,1,Rosa seedling/sp,50.0,4.0
1753,12,12,1,Rubus fruticosus agg.,5.0,4.0
1754,12,12,2,Arbutus unedo,50.0,18.0
1755,12,12,2,Clematis vitalba,50.0,18.0
1756,12,12,2,Fraxinus excelsior (c),50.0,18.0
1757,12,12,2,Rubus fruticosus agg.,5.0,18.0
1758,12,13,1,Clematis vitalba,50.0,7.0
1759,12,13,1,Fraxinus excelsior (c),50.0,7.0
1760,12,13,1,Ilex aquifolium,50.0,7.0
1761,12,13,1,Lonicera periclymenum,50.0,7.0
1762,12,13,1,Rubus fruticosus agg.,5.0,7.0
1763,12,13,2,Acer campestre,50.0,13.0
1764,12,13,2,Arbutus unedo,50.0,13.0
1765,12,13,2,Crataegus monogyna,50.0,13.0
1766,12,13,2,Fraxinus excelsior (c),50.0,13.0
1767,12,13,2,Rubus fruticosus agg.,100.0,13.0
1768,12,14,1,Acer campestre,50.0,21.0
1769,12,14,1,Crataegus monogyna,50.0,21.0
1770,12,14,1,Fraxinus excelsior (c),100.0,21.0
1771,12,14,1,Ilex aquifolium,50.0,21.0
1772,12,14,1,Lonicera periclymenum,100.0,21.0
1773,12,14,1,Rosa seedling/sp,50.0,21.0
1774,12,14,1,Rubus fruticosus agg.,10.0,21.0
1775,12,14,2,Acer campestre,50.0,12.0
1776,12,14,2,Fraxinus excelsior (c),50.0,12.0
1777,12,14,2,Ribes rubrum,50.0,12.0
1778,12,14,2,Rubus fruticosus agg.,5.0,12.0
1779,12,15,1,Cornus sanguinea,50.0,29.0
1780,12,15,1,Crataegus monogyna,50.0,29.0
1781,12,15,1,Euonymus europaeus,50.0,29.0
1782,12,15,1,Fraxinus excelsior (c),50.0,29.0
1783,12,15,1,Quercus seedling/sp,50.0,29.0
1784,12,15,1,Rosa seedling/sp,50.0,29.0
1785,12,15,1,Rubus fruticosus agg.,100.0,29.0
1786,12,15,2,Acer campestre,50.0,8.0
1787,12,15,2,Corylus avellana,50.0,8.0
1788,12,15,2,Fraxinus excelsior (c),50.0,8.0
1789,12,15,2,Rubus caesius,100.0,8.0
1790,12,15,2,Rubus fruticosus agg.,100.0,8.0
1791,12,16,1,Acer campestre,50.0,10.0
1792,12,16,1,Cornus sanguinea,50.0,10.0
1793,12,16,1,Crataegus monogyna,50.0,10.0
1794,12,16,1,Fraxinus excelsior (c),50.0,10.0
1795,12,16,1,Rubus fruticosus agg.,40.0,10.0
1796,12,16,2,Fraxinus excelsior (c),50.0,7.0
1797,12,16,2,Rubus caesius,100.0,7.0
1798,13,1,1,Acer pseudoplatanus,50.0,10.0
1799,13,1,1,Castanea sativa,50.0,10.0
1800,13,1,1,Fraxinus excelsior (c),100.0,10.0
1801,13,1,1,Hedera helix,100.0,10.0
1802,13,1,1,Ligustrum vulgare,50.0,10.0
1803,13,1,1,Quercus seedling/sp,50.0,10.0
1804,13,1,1,Rubus fruticosus agg.,10.0,10.0
1805,13,1,2,Fraxinus excelsior (c),100.0,26.0
1806,13,2,1,Acer pseudoplatanus,50.0,10.0
1807,13,2,1,Crataegus monogyna,50.0,10.0
1808,13,2,1,Fraxinus excelsior (c),50.0,10.0
1809,13,2,1,Ligustrum vulgare,50.0,10.0
1810,13,2,1,Lonicera periclymenum,100.0,10.0
1811,13,2,1,Rosa seedling/sp,100.0,10.0
1812,13,2,1,Rubus fruticosus agg.,65.0,10.0
1813,13,2,2,Fraxinus excelsior (c),50.0,9.0
1814,13,3,1,Acer pseudoplatanus,50.0,17.0
1815,13,3,1,Crataegus monogyna,50.0,17.0
1816,13,3,1,Fraxinus excelsior (c),50.0,17.0
1817,13,3,1,Lonicera periclymenum,50.0,17.0
1818,13,3,1,Rubus fruticosus agg.,55.0,17.0
1819,13,4,1,Fraxinus excelsior (c),100.0,16.0
1820,13,4,1,Lonicera periclymenum,100.0,16.0
1821,13,4,1,Ribes uva-crispa,50.0,16.0
1822,13,4,1,Rubus fruticosus agg.,85.0,16.0
1823,13,5,1,Acer campestre,50.0,17.0
1824,13,5,1,Castanea sativa,100.0,17.0
1825,13,5,1,Fraxinus excelsior (c),50.0,17.0
1826,13,5,1,Lonicera periclymenum,5.0,17.0
1827,13,5,1,Rubus fruticosus agg.,75.0,17.0
1828,13,5,2,Fraxinus excelsior (c),50.0,4.0
1829,13,5,2,Rubus fruticosus agg.,50.0,4.0
1830,13,6,1,Acer pseudoplatanus,50.0,11.0
1831,13,6,1,Castanea sativa,50.0,11.0
1832,13,6,1,Rubus fruticosus agg.,85.0,11.0
1833,13,6,2,Acer campestre,100.0,14.0
1834,13,6,2,Rubus fruticosus agg.,65.0,14.0
1835,13,6,2,Solanum dulcamara,50.0,14.0
1836,13,7,1,Crataegus monogyna,50.0,3.0
1837,13,7,1,Fraxinus excelsior (c),50.0,3.0
1838,13,7,1,Lonicera periclymenum,50.0,3.0
1839,13,7,1,Quercus seedling/sp,50.0,3.0
1840,13,7,1,Rubus fruticosus agg.,100.0,3.0
1841,13,8,1,Acer pseudoplatanus,50.0,23.0
1842,13,8,1,Crataegus monogyna,50.0,23.0
1843,13,8,1,Fraxinus excelsior (c),50.0,23.0
1844,13,8,1,Lonicera periclymenum,5.0,23.0
1845,13,8,1,Quercus seedling/sp,50.0,23.0
1846,13,8,1,Rosa seedling/sp,50.0,23.0
1847,13,8,1,Rubus fruticosus agg.,70.0,23.0
1848,13,8,1,Viburnum opulus,50.0,23.0
1849,13,8,2,Betula seedling/sp,100.0,12.0
1850,13,8,2,Crataegus monogyna,50.0,12.0
1851,13,8,2,Fagus sylvatica,50.0,12.0
1852,13,8,2,Fraxinus excelsior (c),100.0,12.0
1853,13,8,2,Ilex aquifolium,50.0,12.0
1854,13,8,2,Lonicera periclymenum,10.0,12.0
1855,13,8,2,Rubus fruticosus agg.,35.0,12.0
1856,13,9,1,Castanea sativa,100.0,9.0
1857,13,9,1,Crataegus monogyna,100.0,9.0
1858,13,9,1,Fraxinus excelsior (c),100.0,9.0
1859,13,9,1,Lonicera periclymenum,100.0,9.0
1860,13,9,1,Rubus fruticosus agg.,90.0,9.0
1861,13,9,2,Rubus fruticosus agg.,100.0,7.0
1862,13,10,1,Castanea sativa,100.0,1.0
1863,13,10,1,Fraxinus excelsior (c),50.0,1.0
1864,13,10,1,Lonicera periclymenum,10.0,1.0
1865,13,10,1,Rubus fruticosus agg.,100.0,1.0
1866,13,10,2,Acer campestre,100.0,27.0
1867,13,10,2,Cornus sanguinea,50.0,27.0
1868,13,10,2,Fraxinus excelsior (c),50.0,27.0
1869,13,10,2,Lonicera periclymenum,50.0,27.0
1870,13,10,2,Prunus spinosa,50.0,27.0
1871,13,10,2,Rosa canina agg.,5.0,27.0
1872,13,10,2,Rubus fruticosus agg.,20.0,27.0
1873,13,11,1,Betula seedling/sp,50.0,26.0
1874,13,11,1,Castanea sativa,100.0,26.0
1875,13,11,1,Quercus seedling/sp,50.0,26.0
1876,13,11,1,Rubus fruticosus agg.,80.0,26.0
1877,13,11,2,Castanea sativa,100.0,4.0
1878,13,11,2,Ilex aquifolium,50.0,4.0
1879,13,11,2,Larix sp.,50.0,4.0
1880,13,11,2,Rosa canina agg.,50.0,4.0
1881,13,11,2,Rubus fruticosus agg.,15.0,4.0
1882,13,11,2,Sambucus nigra,100.0,4.0
1883,13,12,1,Rubus fruticosus agg.,85.0,5.0
1884,13,12,2,Castanea sativa,50.0,11.0
1885,13,12,2,Ilex aquifolium,50.0,11.0
1886,13,12,2,Rubus fruticosus agg.,100.0,11.0
1887,13,13,1,Lonicera periclymenum,100.0,3.0
1888,13,13,1,Quercus seedling/sp,50.0,3.0
1889,13,13,1,Rubus fruticosus agg.,100.0,3.0
1890,13,13,2,Betula pubescens,50.0,4.0
1891,13,13,2,Fraxinus excelsior (c),50.0,4.0
1892,13,13,2,Lonicera periclymenum,100.0,4.0
1893,13,13,2,Rubus fruticosus agg.,100.0,4.0
1894,13,14,1,Fraxinus excelsior (c),100.0,13.0
1895,13,14,1,Ligustrum vulgare,50.0,13.0
1896,13,14,1,Lonicera periclymenum,100.0,13.0
1897,13,14,1,Rubus fruticosus agg.,45.0,13.0
1898,13,14,2,Betula seedling/sp,100.0,5.0
1899,13,14,2,Fraxinus excelsior (c),100.0,5.0
1900,13,14,2,Lonicera periclymenum,100.0,5.0
1901,13,14,2,Rubus fruticosus agg.,5.0,5.0
1902,13,15,1,Crataegus monogyna,50.0,11.0
1903,13,15,1,Fraxinus excelsior (c),50.0,11.0
1904,13,15,1,Hedera helix,50.0,11.0
1905,13,15,1,Lonicera periclymenum,5.0,11.0
1906,13,15,1,Rubus fruticosus agg.,70.0,11.0
1907,13,15,1,Viburnum opulus,50.0,11.0
1908,13,15,2,Betula seedling/sp,50.0,9.0
1909,13,15,2,Fraxinus excelsior (c),50.0,9.0
1910,13,15,2,Ilex aquifolium,50.0,9.0
1911,13,15,2,Lonicera periclymenum,50.0,9.0
1912,13,15,2,Rubus fruticosus agg.,50.0,9.0
1913,13,16,1,Crataegus monogyna,50.0,6.0
1914,13,16,1,Fraxinus excelsior (c),100.0,6.0
1915,13,16,1,Hedera helix,100.0,6.0
1916,13,16,1,Lonicera periclymenum,100.0,6.0
1917,13,16,1,Rubus fruticosus agg.,75.0,6.0
1918,13,16,1,Viburnum opulus,50.0,6.0
1919,13,16,2,Crataegus monogyna,50.0,6.0
1920,13,16,2,Hedera helix,50.0,6.0
1921,13,16,2,Ilex aquifolium,50.0,6.0
1922,13,16,2,Lonicera periclymenum,50.0,6.0
1923,13,16,2,Rubus fruticosus agg.,20.0,6.0
1924,14,1,1,Rubus fruticosus agg.,60.0,5.0
1925,14,1,2,Fraxinus excelsior (c),100.0,9.0
1926,14,1,2,Rubus fruticosus agg.,5.0,9.0
1927,14,1,2,Sambucus nigra,50.0,9.0
1928,14,2,1,Fraxinus excelsior (c),50.0,8.0
1929,14,2,1,Hedera helix,50.0,8.0
1930,14,2,1,Quercus seedling/sp,50.0,8.0
1931,14,2,1,Rubus fruticosus agg.,50.0,8.0
1932,14,2,1,Rubus idaeus,50.0,8.0
1933,14,2,2,Acer pseudoplatanus,50.0,27.0
1934,14,2,2,Fraxinus excelsior (c),50.0,27.0
1935,14,2,2,Rubus fruticosus agg.,100.0,27.0
1936,14,2,2,Solanum dulcamara,50.0,27.0
1937,14,3,1,Fraxinus excelsior (c),100.0,9.0
1938,14,3,1,Hedera helix,50.0,9.0
1939,14,3,1,Rubus fruticosus agg.,45.0,9.0
1940,14,3,2,Rubus fruticosus agg.,50.0,1.0
1941,14,4,1,Rubus fruticosus agg.,100.0,3.0
1942,14,4,2,Lonicera periclymenum,50.0,3.0
1943,14,4,2,Rubus fruticosus agg.,85.0,3.0
1944,14,5,1,Rubus fruticosus agg.,50.0,1.0
1945,14,5,2,Rubus fruticosus agg.,80.0,2.0
1946,14,6,2,Rhododendron spp.,100.0,2.0
1947,14,6,2,Rubus fruticosus agg.,65.0,2.0
1948,14,7,1,Acer pseudoplatanus,50.0,7.0
1949,14,7,1,Fraxinus excelsior (c),50.0,7.0
1950,14,7,1,Rubus fruticosus agg.,30.0,7.0
1951,14,7,2,Fraxinus excelsior (c),50.0,1.0
1952,14,7,2,Prunus laurocerasus,70.0,1.0
1953,14,8,1,Acer pseudoplatanus,50.0,5.0
1954,14,8,1,Crataegus monogyna,50.0,5.0
1955,14,8,1,Fraxinus excelsior (c),50.0,5.0
1956,14,8,1,Hedera helix,50.0,5.0
1957,14,8,1,Quercus seedling/sp,50.0,5.0
1958,14,8,1,Rubus fruticosus agg.,100.0,5.0
1959,14,9,2,Acer pseudoplatanus,100.0,2.0
1960,14,9,2,Ilex aquifolium,50.0,2.0
1961,14,9,2,Rubus fruticosus agg.,50.0,2.0
1962,14,10,1,Acer pseudoplatanus,50.0,6.0
1963,14,10,1,Crataegus monogyna,50.0,6.0
1964,14,10,1,Fraxinus excelsior (c),50.0,6.0
1965,14,10,1,Hedera helix,50.0,6.0
1966,14,10,1,Quercus seedling/sp,50.0,6.0
1967,14,10,1,Rubus fruticosus agg.,100.0,6.0
1968,14,10,2,Prunus laurocerasus,100.0,0.0
1969,14,11,1,Ilex aquifolium,50.0,2.0
1970,14,11,1,Rubus fruticosus agg.,100.0,2.0
1971,14,11,2,Betula seedling/sp,50.0,2.0
1972,14,11,2,Fraxinus excelsior (c),50.0,2.0
1973,14,11,2,Rubus fruticosus agg.,50.0,2.0
1974,14,11,2,Salix caprea,50.0,2.0
1975,14,12,1,Fraxinus excelsior (c),50.0,19.0
1976,14,12,1,Ilex aquifolium,5.0,19.0
1977,14,12,1,Lonicera periclymenum,100.0,19.0
1978,14,12,1,Rubus fruticosus agg.,25.0,19.0
1979,14,12,2,Crataegus monogyna,50.0,4.0
1980,14,12,2,Hedera helix,5.0,4.0
1981,14,12,2,Ilex aquifolium,50.0,4.0
1982,14,12,2,Lonicera periclymenum,50.0,4.0
1983,14,12,2,Quercus seedling/sp,50.0,4.0
1984,14,12,2,Rosa seedling/sp,50.0,4.0
1985,14,12,2,Rubus fruticosus agg.,40.0,4.0
1986,14,12,2,Ulmus procera,100.0,4.0
1987,14,13,1,Rubus fruticosus agg.,35.0,3.0
1988,14,13,2,Rubus fruticosus agg.,100.0,0.0
1989,14,14,1,Robinia pseudoacacia,50.0,9.0
1990,14,14,1,Rubus fruticosus agg.,50.0,9.0
1991,14,14,2,Rhododendron spp.,100.0,0.0
1992,14,14,2,Rubus fruticosus agg.,50.0,0.0
1993,14,15,1,Fraxinus excelsior (c),50.0,2.0
1994,14,15,1,Ilex aquifolium,50.0,2.0
1995,14,15,1,Rubus fruticosus agg.,50.0,2.0
1996,14,15,2,Hedera helix,50.0,0.0
1997,14,15,2,Rubus fruticosus agg.,50.0,0.0
1998,14,16,1,Fraxinus excelsior (c),50.0,3.0
1999,14,16,1,Rubus fruticosus agg.,25.0,3.0
2000,14,16,2,Acer pseudoplatanus,50.0,1.0
2001,14,16,2,Crataegus monogyna,50.0,1.0
2002,14,16,2,Rubus fruticosus agg.,70.0,1.0
2003,14,16,2,Solanum dulcamara,50.0,1.0
2004,15,1,1,Corylus avellana,50.0,15.0
2005,15,1,1,Hedera helix,50.0,15.0
2006,15,1,1,Ilex aquifolium,50.0,15.0
2007,15,1,1,Quercus seedling/sp,50.0,15.0
2008,15,1,1,Rubus fruticosus agg.,50.0,15.0
2009,15,1,1,Vaccinium myrtillus,100.0,15.0
2010,15,2,1,Acer pseudoplatanus,50.0,17.0
2011,15,2,1,Alnus glutinosa,100.0,17.0
2012,15,2,1,Fraxinus excelsior (c),100.0,17.0
2013,15,2,1,Hedera helix,100.0,17.0
2014,15,2,1,Lonicera periclymenum,100.0,17.0
2015,15,2,1,Quercus seedling/sp,50.0,17.0
2016,15,2,1,Rubus fruticosus agg.,100.0,17.0
2017,15,2,1,Sorbus aucuparia,50.0,17.0
2018,15,2,2,Fraxinus excelsior (c),50.0,5.0
2019,15,2,2,Quercus seedling/sp,50.0,5.0
2020,15,3,1,Acer pseudoplatanus,100.0,10.0
2021,15,3,1,Hedera helix,50.0,10.0
2022,15,3,1,Lonicera periclymenum,100.0,10.0
2023,15,3,1,Vaccinium myrtillus,100.0,10.0
2024,15,4,1,Lonicera periclymenum,50.0,23.0
2025,15,5,1,Acer pseudoplatanus,100.0,25.0
2026,15,5,1,Crataegus monogyna,50.0,25.0
2027,15,5,1,Fraxinus excelsior (c),200.0,25.0
2028,15,5,1,Picea sp,50.0,25.0
2029,15,5,1,Rubus fruticosus agg.,100.0,25.0
2030,15,6,1,Acer pseudoplatanus,100.0,40.0
2031,15,6,1,Alnus glutinosa,50.0,40.0
2032,15,6,1,Erica cinerea,50.0,40.0
2033,15,6,1,Fraxinus excelsior (c),50.0,40.0
2034,15,6,1,Larix sp.,50.0,40.0
2035,15,6,1,Rubus fruticosus agg.,100.0,40.0
2036,15,6,1,Salix seedling/sp,50.0,40.0
2037,15,6,1,Ulmus glabra,50.0,40.0
2038,15,7,1,Acer pseudoplatanus,50.0,26.0
2039,15,7,1,Fraxinus excelsior (c),50.0,26.0
2040,15,7,1,Rubus fruticosus agg.,50.0,26.0
2041,15,7,2,Fraxinus excelsior (c),50.0,8.0
2042,15,8,1,Quercus seedling/sp,50.0,17.0
2043,15,9,1,Fraxinus excelsior (c),100.0,30.0
2044,15,9,1,Rubus fruticosus agg.,50.0,30.0
2045,15,9,1,Ulmus glabra,50.0,30.0
2046,15,10,1,Fraxinus excelsior (c),50.0,25.0
2047,15,11,1,Acer pseudoplatanus,100.0,27.0
2048,15,11,1,Fraxinus excelsior (c),50.0,27.0
2049,15,11,1,Rosa seedling/sp,50.0,27.0
2050,15,11,1,Rubus fruticosus agg.,50.0,27.0
2051,15,11,2,Fraxinus excelsior (c),50.0,5.0
2052,15,12,1,Acer pseudoplatanus,100.0,19.0
2053,15,12,1,Fraxinus excelsior (c),100.0,19.0
2054,15,12,1,Ilex aquifolium,100.0,19.0
2055,15,12,1,Quercus seedling/sp,100.0,19.0
2056,15,12,1,Rubus fruticosus agg.,100.0,19.0
2057,15,12,1,Sorbus aucuparia,100.0,19.0
2058,15,12,2,Fraxinus excelsior (c),50.0,3.0
2059,15,13,1,Acer pseudoplatanus,100.0,26.0
2060,15,13,1,Fraxinus excelsior (c),100.0,26.0
2061,15,13,1,Quercus seedling/sp,50.0,26.0
2062,15,13,1,Rubus fruticosus agg.,100.0,26.0
2063,15,13,1,Sorbus aucuparia,50.0,26.0
2064,15,14,1,Acer pseudoplatanus,50.0,41.0
2065,15,14,1,Betula seedling/sp,50.0,41.0
2066,15,14,1,Cytisus scoparius,50.0,41.0
2067,15,14,1,Rubus fruticosus agg.,50.0,41.0
2068,15,14,1,Sorbus aucuparia,50.0,41.0
2069,15,14,1,Vaccinium myrtillus,100.0,41.0
2070,15,14,2,Sambucus nigra,50.0,15.0
2071,15,15,1,Crataegus monogyna,50.0,13.0
2072,15,15,1,Quercus seedling/sp,50.0,13.0
2073,15,15,1,Rosa seedling/sp,50.0,13.0
2074,15,15,1,Vaccinium myrtillus,100.0,13.0
2075,15,15,2,Fraxinus excelsior (c),50.0,23.0
2076,15,15,2,Quercus seedling/sp,50.0,23.0
2077,15,15,2,Rosa seedling/sp,50.0,23.0
2078,15,15,2,Rubus fruticosus agg.,50.0,23.0
2079,15,16,1,Acer pseudoplatanus,50.0,15.0
2080,15,16,1,Crataegus monogyna,50.0,15.0
2081,15,16,1,Ilex aquifolium,50.0,15.0
2082,15,16,1,Quercus seedling/sp,50.0,15.0
2083,15,16,1,Rubus fruticosus agg.,50.0,15.0
2084,15,16,1,Ulex sp.,50.0,15.0
2085,15,16,2,Quercus seedling/sp,50.0,8.0
2086,16,1,1,Fraxinus excelsior (c),50.0,17.0
2087,16,1,1,Ilex aquifolium,50.0,17.0
2088,16,1,1,Rubus fruticosus agg.,30.0,17.0
2089,16,1,1,Rubus idaeus,50.0,17.0
2090,16,1,1,Sorbus aucuparia,50.0,17.0
2091,16,1,1,Taxus baccata,50.0,17.0
2092,16,1,2,Acer pseudoplatanus,50.0,13.0
2093,16,1,2,Castanea sativa,50.0,13.0
2094,16,1,2,Crataegus monogyna,50.0,13.0
2095,16,1,2,Fagus sylvatica,50.0,13.0
2096,16,1,2,Fraxinus excelsior (c),50.0,13.0
2097,16,1,2,Ilex aquifolium,50.0,13.0
2098,16,1,2,Rubus fruticosus agg.,10.0,13.0
2099,16,1,2,Sorbus aucuparia,50.0,13.0
2100,16,2,1,Acer pseudoplatanus,50.0,20.0
2101,16,2,1,Crataegus monogyna,50.0,20.0
2102,16,2,1,Fagus sylvatica,50.0,20.0
2103,16,2,1,Fraxinus excelsior (c),5.0,20.0
2104,16,2,1,Hedera helix,20.0,20.0
2105,16,2,1,Ilex aquifolium,50.0,20.0
2106,16,2,1,Lonicera periclymenum,100.0,20.0
2107,16,2,1,Ribes nigrum,50.0,20.0
2108,16,2,1,Ribes rubrum,50.0,20.0
2109,16,2,1,Rubus fruticosus agg.,10.0,20.0
2110,16,2,1,Taxus baccata,50.0,20.0
2111,16,2,2,Acer pseudoplatanus,50.0,25.0
2112,16,2,2,Crataegus monogyna,50.0,25.0
2113,16,2,2,Fagus sylvatica,50.0,25.0
2114,16,2,2,Ilex aquifolium,50.0,25.0
2115,16,2,2,Lonicera periclymenum,100.0,25.0
2116,16,2,2,Rubus fruticosus agg.,5.0,25.0
2117,16,2,2,Rubus idaeus,50.0,25.0
2118,16,2,2,Sorbus aucuparia,50.0,25.0
2119,16,3,1,Acer pseudoplatanus,50.0,14.0
2120,16,3,1,Fagus sylvatica,50.0,14.0
2121,16,3,1,Fraxinus excelsior (c),100.0,14.0
2122,16,3,1,Hedera helix,100.0,14.0
2123,16,3,1,Ilex aquifolium,50.0,14.0
2124,16,3,1,Lonicera periclymenum,100.0,14.0
2125,16,3,1,Prunus avium,50.0,14.0
2126,16,3,1,Rubus fruticosus agg.,50.0,14.0
2127,16,3,1,Sambucus nigra,50.0,14.0
2128,16,3,1,Sorbus aucuparia,50.0,14.0
2129,16,3,1,Taxus baccata,50.0,14.0
2130,16,3,2,Acer pseudoplatanus,50.0,9.0
2131,16,3,2,Fagus sylvatica,50.0,9.0
2132,16,3,2,Fraxinus excelsior (c),50.0,9.0
2133,16,3,2,Hedera helix,50.0,9.0
2134,16,3,2,Ilex aquifolium,50.0,9.0
2135,16,3,2,Lonicera periclymenum,50.0,9.0
2136,16,3,2,Quercus seedling/sp,50.0,9.0
2137,16,3,2,Rubus fruticosus agg.,5.0,9.0
2138,16,4,1,Acer pseudoplatanus,100.0,28.0
2139,16,4,1,Betula pubescens,50.0,28.0
2140,16,4,1,Fraxinus excelsior (c),50.0,28.0
2141,16,4,1,Quercus seedling/sp,50.0,28.0
2142,16,4,1,Rubus fruticosus agg.,40.0,28.0
2143,16,4,1,Rubus idaeus,5.0,28.0
2144,16,4,2,Acer pseudoplatanus,50.0,19.0
2145,16,4,2,Aesculus hippocastanum,50.0,19.0
2146,16,4,2,Castanea sativa,50.0,19.0
2147,16,4,2,Crataegus monogyna,50.0,19.0
2148,16,4,2,Fagus sylvatica,50.0,19.0
2149,16,4,2,Ilex aquifolium,50.0,19.0
2150,16,4,2,Rubus fruticosus agg.,30.0,19.0
2151,16,4,2,Rubus idaeus,50.0,19.0
2152,16,5,1,Acer pseudoplatanus,50.0,6.0
2153,16,5,1,Fraxinus excelsior (c),50.0,6.0
2154,16,5,1,Lonicera periclymenum,100.0,6.0
2155,16,5,1,Quercus seedling/sp,50.0,6.0
2156,16,5,1,Rubus fruticosus agg.,10.0,6.0
2157,16,5,1,Rubus idaeus,100.0,6.0
2158,16,5,1,Sorbus aucuparia,50.0,6.0
2159,16,5,2,Castanea sativa,50.0,6.0
2160,16,5,2,Fagus sylvatica,50.0,6.0
2161,16,5,2,Ilex aquifolium,50.0,6.0
2162,16,5,2,Rubus fruticosus agg.,100.0,6.0
2163,16,5,2,Rubus idaeus,50.0,6.0
2164,16,5,2,Sorbus aucuparia,50.0,6.0
2165,16,6,1,Crataegus monogyna,50.0,11.0
2166,16,6,1,Fraxinus excelsior (c),100.0,11.0
2167,16,6,1,Hedera helix,100.0,11.0
2168,16,6,1,Lonicera periclymenum,100.0,11.0
2169,16,6,1,Ribes nigrum,50.0,11.0
2170,16,6,1,Ribes rubrum,50.0,11.0
2171,16,6,1,Rosa seedling/sp,50.0,11.0
2172,16,6,1,Rubus fruticosus agg.,40.0,11.0
2173,16,6,1,Sorbus aucuparia,50.0,11.0
2174,16,6,2,Betula pubescens,50.0,24.0
2175,16,6,2,Fagus sylvatica,50.0,24.0
2176,16,6,2,Fraxinus excelsior (c),50.0,24.0
2177,16,6,2,Lonicera periclymenum,50.0,24.0
2178,16,6,2,Prunus sp.,50.0,24.0
2179,16,6,2,Ribes rubrum,5.0,24.0
2180,16,6,2,Rubus fruticosus agg.,45.0,24.0
2181,16,6,2,Sambucus nigra,50.0,24.0
2182,16,7,1,Fraxinus excelsior (c),50.0,16.0
2183,16,7,1,Rubus fruticosus agg.,45.0,16.0
2184,16,7,2,Crataegus monogyna,50.0,9.0
2185,16,7,2,Ribes rubrum,50.0,9.0
2186,16,7,2,Rubus fruticosus agg.,45.0,9.0
